ID,Question,Intent,Tables,Columns,Filters,Joins,Raw_JSON
1,"List all products","List all the products.","products","*","None","None","{""intent"":""List all the products."",""tables"":""products"",""columns"":""*"",""filters"":""None"",""joins"":""None""}"
2,"Get all customers","Get a list of all customers.","customers","*","None","None","{""intent"":""Get a list of all customers."",""tables"":""customers"",""columns"":""*"",""filters"":""None"",""joins"":""None""}"
3,"Show all orders","Show all order records.","orders","*","None","None","{""intent"":""Show all order records."",""tables"":""orders"",""columns"":""*"",""filters"":""None"",""joins"":""None""}"
4,"List all employees","Get a list of all employees.","employees","*","None","None","{""intent"":""Get a list of all employees."",""tables"":""employees"",""columns"":""*"",""filters"":""None"",""joins"":""None""}"
5,"Get all offices","Find all office locations.","offices","*","None","None","{""intent"":""Find all office locations."",""tables"":""offices"",""columns"":""*"",""filters"":""None"",""joins"":""None""}"
6,"Show all product lines","List the product line categories.","productlines","*","None","None","{""intent"":""List the product line categories."",""tables"":""productlines"",""columns"":""*"",""filters"":""None"",""joins"":""None""}"
7,"List all payments","Show all the payment records.","payments","*","None","None","{""intent"":""Show all the payment records."",""tables"":""payments"",""columns"":""*"",""filters"":""None"",""joins"":""None""}"
8,"Get product names and prices","Find product names and how much they cost to buy.","products","productName, buyPrice","None","None","{""intent"":""Find product names and how much they cost to buy."",""tables"":""products"",""columns"":""productName, buyPrice"",""filters"":""None"",""joins"":""None""}"
9,"Get customer names and cities","List customer names and what city they are in.","customers","customerName, city","None","None","{""intent"":""List customer names and what city they are in."",""tables"":""customers"",""columns"":""customerName, city"",""filters"":""None"",""joins"":""None""}"
10,"List employee first and last names","Get the first and last names of everyone working here.","employees","firstName, lastName","None","None","{""intent"":""Get the first and last names of everyone working here."",""tables"":""employees"",""columns"":""firstName, lastName"",""filters"":""None"",""joins"":""None""}"
11,"Get all order dates","List the dates for all orders.","orders","orderDate","None","None","{""intent"":""List the dates for all orders."",""tables"":""orders"",""columns"":""orderDate"",""filters"":""None"",""joins"":""None""}"
12,"Show product vendor list","Find all the different product vendors without duplicates.","products","productVendor","None (Uses DISTINCT)","None","{""intent"":""Find all the different product vendors without duplicates."",""tables"":""products"",""columns"":""productVendor"",""filters"":""None (Uses DISTINCT)"",""joins"":""None""}"
13,"Get all product codes","List just the product codes.","products","productCode","None","None","{""intent"":""List just the product codes."",""tables"":""products"",""columns"":""productCode"",""filters"":""None"",""joins"":""None""}"
14,"List all countries from offices","Find all the unique countries where we have an office.","offices","country","None (Uses DISTINCT)","None","{""intent"":""Find all the unique countries where we have an office."",""tables"":""offices"",""columns"":""country"",""filters"":""None (Uses DISTINCT)"",""joins"":""None""}"
15,"Show all order statuses","List the different statuses an order can have.","orders","status","None (Uses DISTINCT)","None","{""intent"":""List the different statuses an order can have."",""tables"":""orders"",""columns"":""status"",""filters"":""None (Uses DISTINCT)"",""joins"":""None""}"
16,"Get all payment amounts","List just the amounts paid in the payments table.","payments","amount","None","None","{""intent"":""List just the amounts paid in the payments table."",""tables"":""payments"",""columns"":""amount"",""filters"":""None"",""joins"":""None""}"
17,"List all job titles","Find all the unique job titles in the company.","employees","jobTitle","None (Uses DISTINCT)","None","{""intent"":""Find all the unique job titles in the company."",""tables"":""employees"",""columns"":""jobTitle"",""filters"":""None (Uses DISTINCT)"",""joins"":""None""}"
18,"Get customer phone numbers","List the phone numbers for all customers.","customers","phone","None","None","{""intent"":""List the phone numbers for all customers."",""tables"":""customers"",""columns"":""phone"",""filters"":""None"",""joins"":""None""}"
19,"Show product MSRP values","Get product names and their MSRP.","products","productName, MSRP","None","None","{""intent"":""Get product names and their MSRP."",""tables"":""products"",""columns"":""productName, MSRP"",""filters"":""None"",""joins"":""None""}"
20,"List order numbers","List just the order numbers.","orders","orderNumber","None","None","{""intent"":""List just the order numbers."",""tables"":""orders"",""columns"":""orderNumber"",""filters"":""None"",""joins"":""None""}"
21,"Get orders with customer names","Match order numbers to the name of the customer who bought it.","orders, customers","orderNumber, customerName","None","orders.customerNumber = customers.customerNumber","{""intent"":""Match order numbers to the name of the customer who bought it."",""tables"":""orders, customers"",""columns"":""orderNumber, customerName"",""filters"":""None"",""joins"":""orders.customerNumber = customers.customerNumber""}"
22,"Get employees with office city","Match employee names with the city they work in.","employees, offices","firstName, lastName, city","None","employees.officeCode = offices.officeCode","{""intent"":""Match employee names with the city they work in."",""tables"":""employees, offices"",""columns"":""firstName, lastName, city"",""filters"":""None"",""joins"":""employees.officeCode = offices.officeCode""}"
23,"Get payments with customer names","Match payment amounts to the customer who paid.","payments, customers","amount, customerName","None","payments.customerNumber = customers.customerNumber","{""intent"":""Match payment amounts to the customer who paid."",""tables"":""payments, customers"",""columns"":""amount, customerName"",""filters"":""None"",""joins"":""payments.customerNumber = customers.customerNumber""}"
24,"Get order details with product names","Match order numbers to the actual names of the products.","orderdetails, products","orderNumber, productName","None","orderdetails.productCode = products.productCode","{""intent"":""Match order numbers to the actual names of the products."",""tables"":""orderdetails, products"",""columns"":""orderNumber, productName"",""filters"":""None"",""joins"":""orderdetails.productCode = products.productCode""}"
25,"Get products with product line description","Show product names and the text description of their product line.","products, productlines","productName, textDescription","None","products.productLine = productlines.productLine","{""intent"":""Show product names and the text description of their product line."",""tables"":""products, productlines"",""columns"":""productName, textDescription"",""filters"":""None"",""joins"":""products.productLine = productlines.productLine""}"
